cell,easting_mean,northing_mean,cluster,years_available,log_traffic_mean,log_traffic_max,traffic_year_cv,point_cv_mean,log_link_length_km,log_count_points,road_category_n,year_coverage_frac,traffic_trend_pct_per_year
6423,233500.0,803430.0,0,10,7.9580173067092,8.042699496897637,0.04694572341166627,0.0,2.533696813957432,0.6931471805599453,1,1.0,0.012412216233872021
6427,275727.5,800747.85,0,10,7.949020900797694,8.046229101075378,0.11351944878813533,0.12174818513241933,1.916922612182061,0.832909122935104,2,1.0,-0.028244162081297226
6428,281713.35,804138.9,1,10,8.684274198793908,9.05005424204284,0.29269352115336067,0.6509828076807284,2.791165107812717,0.9932517730102833,2,1.0,0.07912151601061085
6432,329370.0,808000.0,0,10,6.547789210945191,6.618738983517219,0.09351153470121443,0.0,2.4069451083182885,0.6931471805599453,1,1.0,0.021060323342511265
6433,331350.0,804670.0,1,10,6.2183012702598095,7.216709486709457,0.4251254729991635,0.31422347646095183,3.0819099697950434,1.0986122886681098,1,1.0,-0.03450497790120144
6434,345367.25,804771.9,0,10,6.1369708286950395,6.621405651764134,0.05462518929612299,0.531834967368251,3.0007198150650303,1.6094379124341003,2,1.0,-0.0027175250829537894
6436,364202.85,802618.75,0,10,7.736099651452253,8.376090350438238,0.045394648228718054,0.5891234854337337,2.9391619220655967,1.6094379124341003,2,1.0,0.005973809384302807
6437,378800.0,808100.0,1,10,8.632591162844617,9.468851067127684,0.4601041225038973,0.0,2.379546134130174,0.6931471805599453,1,1.0,0.08290800206103385
6438,386881.42000000004,805052.52,0,10,9.550127109565226,10.240352569152035,0.018403084498831025,0.4525609404012199,2.91235066461494,2.3978952727983707,3,1.0,0.003482021737004668
6439,392846.68913043477,806024.1586956521,0,10,9.816160552620293,10.73400250738888,0.027598284415984935,0.5919963018549621,3.8918202981106265,3.8501476017100584,4,1.0,0.002919815855955217
6496,167200.0,810000.0,0,10,7.114850745874739,7.157735484249907,0.03043125855236435,0.0,2.4849066497880004,0.6931471805599453,1,1.0,0.0028944559088565094
6497,170200.0,813400.0,0,10,7.265849215674283,7.364547014255642,0.0772359995142909,0.0,2.5649493574615367,0.6931471805599453,1,1.0,0.02278238456190281
6502,221300.0,810265.0,0,10,7.3301102797585695,7.7336835707759,0.04674260065687442,0.5457623580786781,4.070734696582967,1.0986122886681098,1,1.0,0.012587917149918764
6504,242500.0,815200.0,0,10,7.937410409811269,8.0106915391303,0.033375275227041645,0.0,2.4159137783010487,0.6931471805599453,1,1.0,0.006198962220540329
6508,289000.0,811070.0,0,10,8.944067478761902,9.025936648977904,0.05712418004435194,0.0,1.8870696490323797,0.6931471805599453,1,1.0,0.016660674329738362
6509,291836.4333333333,817826.7,1,10,8.226840890408578,8.711772645605693,0.21351245178634778,0.13174989109016563,2.8273136219290276,1.3862943611198906,1,1.0,0.058687976313009003
6511,315020.0,819800.0,0,10,6.610157541742979,6.652863029353347,0.029386414813658692,0.0,2.0541237336955462,0.6931471805599453,1,1.0,0.0035467948089305964
6512,323040.0,812850.0,0,10,6.781398090105615,6.834108738813838,0.034322657111986773,0.0,3.0301337002713233,1.0986122886681098,1,1.0,-0.0064922770818488336
6514,346100.0,816950.0,0,10,6.665683717782408,6.75110146893676,0.08076664724578862,0.0,2.797281334830153,0.6931471805599453,1,1.0,-0.018599257884971764
6515,352725.0,815325.0,0,10,7.016475145696379,7.3537223303996315,0.0364946992363768,0.4837169883761699,3.1822118404966093,1.0986122886681098,1,1.0,0.005182679241124994
6516,362700.0,813360.0,0,10,8.279976070370669,8.329658067569396,0.02989258867570454,0.0,3.173878458937465,0.6931471805599453,1,1.0,0.006644518272425064
6517,376115.0,817269.5,1,10,9.089448759698096,10.23899503822049,0.33861264563928617,0.3745688585497513,1.791759469228055,1.0986122886681098,2,1.0,0.061503492425696
6518,386448.3333333333,812390.5555555555,0,10,9.654031396597187,10.218809110791327,0.04056533354180803,0.4142377535393035,2.9338568698359038,2.302585092994046,3,1.0,0.001759437954727153
